C12432	C12432
amet	C00019
C01907	C01907
ahcys	C00021
C12431	C12431
nadph	C00005
h	C00080
o2	C00007
C12432	C12432
cdpdag1	C00269
nadp	C00006
h2o	C00001
C12428	C12428
nadph	C00005
h	C00080
o2	C00007
C12431	C12431
nadp	C00006
h2o	C00001
C01907	C01907
nadph	C00005
h	C00080
o2	C00007
C01661	C01661
nadp	C00006
h2o	C00001
C18358	C18358
C06691	C06691
C12435	C12435
o2	C00007
C12436	C12436
h2o	C00001
C12434	C12434
C12435	C12435
C01907	C01907
C12433	C12433
C14602	C14602
C18351	C18351
C12366	C12366
C12367	C12367
h2o	C00001
C12436	C12436
C12437	C12437
C00584	C00584
C05953	C05953
h2o	C00001
C00639	C00639
nadp	C00006
C00584	C00584
nadph	C00005
h	C00080
C00584	C00584
nad	C00003
C04707	C04707
nadh	C00004
h	C00080
C06369	C06369
h2o	C00001
C00586	C00586
pi	C00009
pap	C00053
C00585	C00585
C00054	C00054
C03721	C03721
C01167	C01167
h2o	C00001
C00585	C00585
pi	C00009
atp	C00002
C00585	C00585
adp	C00008
C01167	C01167
C00587	C00587
o2	C00007
nadh	C00004
h	C00080
C00628	C00628
nad	C00003
h2o	C00001
C03573	C03573
h2o	C00001
C00069	C00069
C00586	C00586
itp	C00081
glc-D	C00031
idp	C00104
g6p	C00092
itp	C00081
pyr	C00022
idp	C00104
pep	C00074
itp	C00081
succ	C00042
coa	C00010
idp	C00104
pi	C00009
succoa	C00091
itp	C00081
oaa	C00036
idp	C00104
pep	C00074
co2	C00011
itp	C00081
h2o	C00001
imp	C00130
ppi	C00013
C03614	C03614
h2o	C00001
pe_EC	C00350
cdpea	C00570
pa_EC	C00416
gdpofuc	C05389
pg_EC	C00344
clpn_EC	C05980
pgp_EC	C03892
ps_EC	C02737
2dmmql8	C05818
cechddd	C11588
cenchddd	C12622
dhcinnm	C12623
maltpt	G00343
malthp	G01455
3hcinnm	C12621
o2-	C00704
itp	C00081
pi	C00009
atp	C00002
idp	C00104
adp	C00008
itp	C00081
C18351	C18351
h2o	C00001
C02814	C02814
nh4	C00014
tyr-L	C00082
h2o	C00001
o2	C00007
34hpp	C01179
nh4	C00014
h2o2	C00027
tyr-L	C00082
h2o	C00001
C00146	C00146
pyr	C00022
nh4	C00014
C00096	C00096
C05860	C05860
gdp	C00035
C05861	C05861
C05852	C05852
C06207	C06207
C05847	C05847
4hbz	C00156
C05848	C05848
ppi	C00013
glc-D	C00031
G10499(n+1)	G10499(n+1)
G00370	G00370
G10499(n)	G10499(n)
G10477(n+1)	G10477(n+1)
h2o	C00001
G10477(n)	G10477(n)
C00267	C00267
G10481(n+1)	G10481(n+1)
h2o	C00001
G10481(n)	G10481(n)
C00221	C00221
G10615	G10615
G00071	G00071
G10620	G10620
G00081	G00081
G10615	G10615
G00062	G00062
G10620	G10620
G00063	G00063
C04150	C04150
G10509(n)	G10509(n)
C02970	C02970
G10509(n+1)	G10509(n+1)
G10608	G10608
f6p	C00085
G10619	G10619
G10508	G10508
G10506(n)	G10506(n)
G11110	G11110
G10506(n+1)	G10506(n+1)
G10619	G10619
G10488	G10488
G00370	G00370
C00137	C00137
G00249	G00249
G00249	G00249
h2o	C00001
C00124	C00124
G00370	G00370
C01054	C01054
C08624	C08624
C07208	C07208
o2	C00007
nadh	C00004
h	C00080
C07216	C07216
nad	C00003
h2o	C00001
adp	C00008
h2o	C00001
amp	C00020
pi	C00009
C11062	C11062
C02331	C02331
h2o	C00001
C07111	C07111
o2	C00007
nadh	C00004
h	C00080
C06727	C06727
nad	C00003
C16604	C16604
C16605	C16605
G00370	G00370
G10609	G10609
G09080	G09080
G10619	G10619
C20525	C20525
o2	C00007
nadph	C00005
h	C00080
C20526	C20526
nadp	C00006
h2o	C00001
C07101	C07101
nadh	C00004
o2	C00007
C06600	C06600
nad	C00003
C01328	C01328
C00698	C00698
C08624	C08624
C08748	C08748
C06600	C06600
nadh	C00004
o2	C00007
C07102	C07102
nad	C00003
C01328	C01328
C00698	C00698
G10617	G10617
G00145	G00145
G10622	G10622
G00146	G00146
G00144	G00144
C00154	C00154
agpe_EC	C04438
agpg_EC	C18126
apg_EC	C00103
G00145	G00145
coa	C00010
C07097	C07097
